2020-11-23 18:09:36.639 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:09:36.639 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:09:36.639 +03:00 [INF] read: 'CacheImageCount' = 10
2020-11-23 18:09:36.641 +03:00 [INF] read: 'CacheImageCount' = 10
2020-11-23 18:09:36.650 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:09:36.650 +03:00 [INF] read: 'CacheImageCount' = 10
2020-11-23 18:09:36.666 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:09:36.669 +03:00 [INF] read: 'CacheImageCount' = 10
2020-11-23 18:09:36.721 +03:00 [INF] read: 'CacheImageCount' = 10
2020-11-23 18:09:36.775 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:09:40.393 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:09:40.394 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:09:46.507 +03:00 [ERR] An unhandled exception has occurred while executing the request.
System.ObjectDisposedException: Cannot access a disposed object.
   at System.Threading.TimerQueueTimer.Change(UInt32 dueTime, UInt32 period)
   at System.Threading.Timer.Change(Int32 dueTime, Int32 period)
   at System.Timers.Timer.set_Enabled(Boolean value)
   at NorthwindCorp.Web.Middleware.ImageCacheMiddleware.SetupTimer() in C:\Learning\ASPNetMentoring\NorthwindCorp\NorthwindCorp\NorthwindCorp.Web\Middleware\ImageCacheMiddleware.cs:line 47
   at NorthwindCorp.Web.Middleware.ImageCacheMiddleware.InvokeAsync(HttpContext context) in C:\Learning\ASPNetMentoring\NorthwindCorp\NorthwindCorp\NorthwindCorp.Web\Middleware\ImageCacheMiddleware.cs:line 85
   at Microsoft.AspNetCore.Diagnostics.DeveloperExceptionPageMiddleware.Invoke(HttpContext context)
2020-11-23 18:09:46.590 +03:00 [WRN] The response has already started, the error page middleware will not be executed.
2020-11-23 18:09:46.598 +03:00 [ERR] Connection ID "17798225728978813797", Request ID "80000366-0000-f700-b63f-84710c7967bb": An unhandled exception was thrown by the application.
System.ObjectDisposedException: Cannot access a disposed object.
   at System.Threading.TimerQueueTimer.Change(UInt32 dueTime, UInt32 period)
   at System.Threading.Timer.Change(Int32 dueTime, Int32 period)
   at System.Timers.Timer.set_Enabled(Boolean value)
   at NorthwindCorp.Web.Middleware.ImageCacheMiddleware.SetupTimer() in C:\Learning\ASPNetMentoring\NorthwindCorp\NorthwindCorp\NorthwindCorp.Web\Middleware\ImageCacheMiddleware.cs:line 47
   at NorthwindCorp.Web.Middleware.ImageCacheMiddleware.InvokeAsync(HttpContext context) in C:\Learning\ASPNetMentoring\NorthwindCorp\NorthwindCorp\NorthwindCorp.Web\Middleware\ImageCacheMiddleware.cs:line 85
   at Microsoft.AspNetCore.Diagnostics.DeveloperExceptionPageMiddleware.Invoke(HttpContext context)
   at Microsoft.AspNetCore.Diagnostics.DeveloperExceptionPageMiddleware.Invoke(HttpContext context)
   at Microsoft.AspNetCore.Server.IIS.Core.IISHttpContextOfT`1.ProcessRequestAsync()
2020-11-23 18:09:46.609 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:09:50.922 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:09:50.923 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:09:51.054 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:09:52.632 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
